"""1S0""",3.26896,-0.138,0.9
"""3S1""",3.370778,0.418,-0.3
"""1P1""",2.7295,-4.67,-157
"""3P0""",2.8866,0.44,-1.9
"""3P1""",2.8824,0.407,-1.3
"""3P2""",2.8719,0.446,-1.9
"""1D2""",2.3807,-39.41,-1090
"""3D1""",2.67517,-13.15,-4444
"""3D2""",2.66142,-16.77,-6656
"""3D3""",2.612,-41.4,-15363
"""1F3""",0.089,-2,30
"""3F2""",0.12,2.2,120
